,trip_id,line_name,product,station_id,station_name,direction,scheduled_departure,actual_departure,delay,delay_calc,occupancy,remarks
46,1|64462|3|86|22012025,M13,tram,900140011,Antonplatz (Berlin),S Warschauer Straße,2025-01-22T22:38:00+01:00,2025-01-22T22:37:00+01:00,-60.0,-60.0,low,"[""Bicycle conveyance""]"
47,1|64497|7|86|22012025,M13,tram,900140011,Antonplatz (Berlin),"Wedding, Virchow-Klinikum",2025-01-22T22:38:00+01:00,2025-01-22T22:38:00+01:00,0.0,0.0,low,"[""Bicycle conveyance""]"
48,1|65349|4|86|22012025,M4,tram,900140011,Antonplatz (Berlin),Falkenberg,2025-01-22T22:39:00+01:00,2025-01-22T22:40:00+01:00,60.0,60.0,medium,"[""Bicycle conveyance""]"
49,1|62684|1|86|23012025,50,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),"Prenzlauer Berg, Björnsonstr.",2025-01-23T21:46:00+01:00,2025-01-23T21:46:00+01:00,,0.0,low,"[""Bicycle conveyance""]"
50,1|61986|0|86|23012025,12,tram,900140011,Antonplatz (Berlin),"Weißensee, Pasedagplatz",2025-01-23T21:42:00+01:00,2025-01-23T21:44:00+01:00,120.0,120.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
51,1|61964|1|86|23012025,12,tram,900140011,Antonplatz (Berlin),"Mitte, Am Kupfergraben",2025-01-23T21:44:00+01:00,2025-01-23T21:44:00+01:00,,0.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
52,1|63744|1|86|23012025,M1,tram,900140011,Antonplatz (Berlin),Betriebshof Weißensee,2025-01-23T21:44:00+01:00,2025-01-23T21:44:00+01:00,0.0,0.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
53,1|65403|1|86|23012025,M4,tram,900140011,Antonplatz (Berlin),"Hohenschönhausen, Zingster Str.",2025-01-23T21:46:00+01:00,2025-01-23T21:44:00+01:00,-120.0,-120.0,medium,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
54,1|65246|1|86|23012025,M4,tram,900140011,Antonplatz (Berlin),S Hackescher Markt,2025-01-23T21:47:00+01:00,2025-01-23T21:49:00+01:00,120.0,120.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
55,1|64461|0|86|23012025,M13,tram,900140011,Antonplatz (Berlin),S Warschauer Straße,2025-01-23T21:49:00+01:00,2025-01-23T21:49:00+01:00,,0.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
56,1|64462|0|86|23012025,M13,tram,900140011,Antonplatz (Berlin),S Warschauer Straße,2025-01-23T21:51:00+01:00,2025-01-23T21:51:00+01:00,,0.0,low,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
