row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
39,1|64464|3|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 01:23:00,2025-01-24 01:23:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
40,1|64464|3|86|23012025,Antonplatz (Berlin),departure,2025-01-24 01:23:00,2025-01-24 01:23:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
41,1|64499|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 01:31:00,2025-01-24 01:36:00,300.0,5,1,2025-01-24,late,1_to_5min_late,off_peak,weekday
42,1|64499|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 01:31:00,2025-01-24 01:36:00,300.0,5,1,2025-01-24,late,1_to_5min_late,off_peak,weekday
43,1|64464|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 01:44:00,2025-01-24 01:36:00,-480.0,5,1,2025-01-24,early,more_than_5min_early,off_peak,weekday
44,1|64464|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 01:44:00,2025-01-24 01:36:00,-480.0,5,1,2025-01-24,early,more_than_5min_early,off_peak,weekday
45,1|64499|4|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 01:51:00,2025-01-24 01:51:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
46,1|64499|4|86|23012025,Antonplatz (Berlin),departure,2025-01-24 01:51:00,2025-01-24 01:51:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
47,1|64464|4|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 01:53:00,2025-01-24 01:45:00,-480.0,5,1,2025-01-24,early,more_than_5min_early,off_peak,weekday
48,1|64464|4|86|23012025,Antonplatz (Berlin),departure,2025-01-24 01:53:00,2025-01-24 01:45:00,-480.0,5,1,2025-01-24,early,more_than_5min_early,off_peak,weekday
49,1|64499|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 02:01:00,2025-01-24 02:04:00,180.0,5,2,2025-01-24,late,1_to_5min_late,off_peak,weekday
50,1|64499|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 02:01:00,2025-01-24 02:04:00,180.0,5,2,2025-01-24,late,1_to_5min_late,off_peak,weekday
51,1|64464|5|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 02:14:00,2025-01-24 02:06:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
