,trip_id,line_name,product,station_id,station_name,direction,scheduled_arrival,actual_arrival,delay,delay_calc,occupancy,remarks
43,1|64463|3|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T22:39:00+01:00,2025-01-22T22:41:00+01:00,120.0,120.0,,"[""Bicycle conveyance""]"
44,1|65285|3|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T22:33:00+01:00,2025-01-22T22:34:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
45,1|65404|3|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T22:33:00+01:00,2025-01-22T22:34:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
46,1|64462|3|86|22012025,M13,tram,900140011,Antonplatz (Berlin),,2025-01-22T22:38:00+01:00,2025-01-22T22:37:00+01:00,-60.0,-60.0,,"[""Bicycle conveyance""]"
47,1|64497|7|86|22012025,M13,tram,900140011,Antonplatz (Berlin),,2025-01-22T22:38:00+01:00,2025-01-22T22:38:00+01:00,0.0,0.0,,"[""Bicycle conveyance""]"
48,1|65349|4|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T22:39:00+01:00,2025-01-22T22:40:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
49,1|63686|0|86|23012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-23T21:38:00+01:00,2025-01-23T21:42:00+01:00,240.0,240.0,,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
50,1|64462|0|86|23012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-23T21:42:00+01:00,2025-01-23T21:42:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
51,1|64463|0|86|23012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-23T21:39:00+01:00,2025-01-23T21:43:00+01:00,240.0,240.0,,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
52,1|62684|1|86|23012025,50,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-23T21:46:00+01:00,2025-01-23T21:48:00+01:00,120.0,120.0,,"[""Bicycle conveyance"", ""Monday, 3 AM until Tuesday, 3 AM U-Bahn, Tram and most Bus services will not run. The BVG will run again from Tuesday, 3 AM, but the service may be irregular.""]"
53,1|61986|0|86|23012025,12,tram,900140011,Antonplatz (Berlin),,2025-01-23T21:42:00+01:00,2025-01-23T21:42:00+01:00,,0.0,,"[""Bicycle conveyance""]"
54,1|61964|1|86|23012025,12,tram,900140011,Antonplatz (Berlin),,2025-01-23T21:44:00+01:00,2025-01-23T21:44:00+01:00,,0.0,,"[""Bicycle conveyance""]"
55,1|63744|1|86|23012025,M1,tram,900140011,Antonplatz (Berlin),,2025-01-23T21:44:00+01:00,2025-01-23T21:44:00+01:00,,0.0,,"[""Bicycle conveyance""]"
56,1|65403|1|86|23012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-23T21:46:00+01:00,2025-01-23T21:46:00+01:00,,0.0,,"[""Bicycle conveyance""]"
57,1|65246|1|86|23012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-23T21:47:00+01:00,2025-01-23T21:47:00+01:00,,0.0,,"[""Bicycle conveyance""]"
